experiment,seed,normalize,augmentation,optimizer,lr,weight_decay,epochs_trained,best_val_loss,best_val_acc,test_acc
baseline_no_norm,42,false,false,Adam,0.001,,25,,0.7118,0.7063
baseline_norm,42,true,false,Adam,0.001,,17,,0.7196,0.7127
baseline_norm_aug,42,true,true,Adam,0.001,,34,,0.7728,0.7626
adam_lr3e-4,42,true,true,Adam,0.0003,,48,,0.7266,0.7287
sgd_lr0.1,42,true,true,SGD,0.1,0.0005,18,,0.5734,0.5789
batchnorm,42,true,true,Adam,0.001,,41,,0.801,0.7891
bn_fc128_dropout0.3,42,true,true,Adam,0.001,,65,,0.8076,0.8043
bn_fc128_do0.3_conv4_128,42,true,true,Adam,0.001,,53,0.5019,0.8224,0.8167
bn_fc128_do0.3_conv4_128,0,true,true,Adam,0.001,,28,0.563,0.8032,0.801
bn_fc128_do0.3_conv4_128,1,true,true,Adam,0.001,,61,0.4753,0.8408,0.8297
adamw_cosine_bn_fc128_do0.3_conv4_128,42,true,true,AdamW,0.001,0.0005,64,0.4813,0.8354,0.8358
adamw_cosine_bn_fc128_do0.3_conv4_128,0,true,true,AdamW,0.001,0.0005,62,0.4587,0.8378,0.8331
adamw_cosine_bn_fc128_do0.3_conv4_128,1,true,true,AdamW,0.001,0.0005,38,0.4974,0.8244,0.8193
adamw_cosine_ls0.1_bn_fc128_do0.3_conv4_128,0,true,true,AdamW,0.001,0.0005,76,0.8784,0.8462,0.8415
adamw_cosine_ls0.1_bn_fc128_do0.3_conv4_128,1,true,true,AdamW,0.001,0.0005,80,0.8777,0.8442,0.8385
adamw_cosine_ls0.1_bn_fc128_do0.3_conv4_128,42,true,true,AdamW,0.001,0.0005,80,0.8909,0.8384,0.836
adamw_cosine_ls0.1_bn_fc128_do0.3_conv4_128_erasing,42,true,true,AdamW,0.001,0.0005,49,0.9199,0.8272,0.8217
adamw_cosine_ls0.1_bn_fc128_do0.3_conv4_128_erasing,0,true,true,AdamW,0.001,0.0005,80,0.8941,0.838,0.8355
adamw_cosine_ls0.1_bn_fc128_do0.3_conv4_128_erasing,1,true,true,AdamW,0.001,0.0005,39,0.9267,0.8206,0.8147
adamw_cosine_cutmix_ls0.0_bn_fc128_do0.3_conv4_128,1,true,true,AdamW,0.001,0.0005,80,0.44491376080513,0.8474,0.8355
adamw_cosine_cutmix_ls0.0_bn_fc128_do0.3_conv4_128,0,true,true,AdamW,0.001,0.0005,80,0.4650711644649505,0.8418,0.8424
adamw_cosine_cutmix_ls0.0_bn_fc128_do0.3_conv4_128,42,true,true,AdamW,0.001,0.0005,80,0.4573021698474884,0.8376,0.8366
